Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
14/03/2006	332						
15/03/2006	329	-3					
16/03/2006	330	1					
17/03/2006	330.75	0.75					
20/03/2006	330.75	0					
21/03/2006	333.25	2.5					
22/03/2006	338	4.75					
23/03/2006	334.75	-3.25					
24/03/2006	346	11.25					
27/03/2006	340.25	-5.75					
28/03/2006	339.5	-0.75					
29/03/2006	335	-4.5					
30/03/2006	333.5	-1.5					
31/03/2006	330	-3.5					
03/04/2006	330	0	4.05	3.178571429	1.274157303	56.02766798	
04/04/2006	327.25	-2.75	3.760714286	3.147959184	1.19465154	54.43467986	
05/04/2006	329.75	2.5	3.670663265	2.923104956	1.255741179	55.66867293	
06/04/2006	326.75	-3	3.408473032	2.928597459	1.163858495	53.78625718	
07/04/2006	324.25	-2.5	3.165010673	2.897983355	1.092142461	52.20210771	
10/04/2006	329	4.75	3.278224196	2.690984544	1.218224833	54.91890699	
11/04/2006	327	-2	3.044065325	2.641628505	1.152344215	53.53902999	
12/04/2006	327	0	2.826632087	2.452940755	1.152344215	53.53902999	
13/04/2006	329.75	2.75	2.821158367	2.277730701	1.238582931	55.328883	
18/04/2006	326.75	-3	2.619647055	2.329321365	1.124639603	52.933194	
19/04/2006	330	3.25	2.664672265	2.162941268	1.231967	55.1964702	
20/04/2006	329	-1	2.474338532	2.079874034	1.189657879	54.33076511	
21/04/2006	329	0	2.297600065	1.931311603	1.189657879	54.33076511	
24/04/2006	326.75	-2.25	2.133485775	1.95407506	1.091813625	52.19459382	
25/04/2006	323.25	-3.5	1.981093934	2.06449827	0.959600675	48.96919497	
26/04/2006	323	-0.25	1.839587224	1.934891251	0.950744505	48.7375206	
27/04/2006	322.25	-0.75	1.708188137	1.850256161	0.923217105	48.00379024	
28/04/2006	319.5	-2.75	1.586174699	1.914523579	0.828495776	45.31023736	
02/05/2006	321.5	2	1.615733649	1.777771894	0.908853185	47.61252422	
03/05/2006	318.75	-2.75	1.500324102	1.847216759	0.812207931	44.81869421	
04/05/2006	317.5	-1.25	1.393158095	1.804558419	0.772021609	43.56727962	
05/05/2006	319.5	2	1.436503945	1.675661389	0.857275793	46.15770022	
08/05/2006	316.25	-3.25	1.333896521	1.788114147	0.745979513	42.72555935	
09/05/2006	318.75	2.5	1.417189626	1.660391708	0.853527285	46.04881147	
10/05/2006	321	2.25	1.476676082	1.5417923	0.957765895	48.92136987	
11/05/2006	322.5	1.5	1.478342076	1.431664279	1.032603871	50.80202225	
12/05/2006	319.5	-3	1.372746213	1.543688259	0.889263882	47.06933162	
15/05/2006	316.5	-3	1.274692912	1.647710526	0.773614596	43.61796512	
16/05/2006	319.75	3.25	1.415786276	1.530016917	0.925340276	48.06112911	
17/05/2006	318.5	-1.25	1.314658685	1.510015709	0.870625833	46.54195498	
18/05/2006	318.75	0.25	1.238611636	1.402157444	0.883361309	46.9034436	
19/05/2006	321	2.25	1.310853662	1.302003341	1.006797464	50.16936099	
22/05/2006	316.5	-4.5	1.217221257	1.530431674	0.795345051	44.30040067	
