Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
14/03/2006	21.395						
15/03/2006	21.365	-0.03					
16/03/2006	21.344999	-0.020001					
17/03/2006	21.395	0.050001					
20/03/2006	21.445	0.05					
21/03/2006	21.375	-0.07					
22/03/2006	21.385	0.01					
23/03/2006	21.205	-0.18					
24/03/2006	21.33	0.125					
27/03/2006	21.195	-0.135					
28/03/2006	21.08	-0.115					
29/03/2006	21.08	0					
30/03/2006	21.059999	-0.020001					
31/03/2006	20.934999	-0.125					
03/04/2006	20.934999	0	0.05875025	0.08687525	0.676259924	40.3433808	
04/04/2006	21.040001	0.105002	0.062053946	0.080669875	0.769233204	43.47833866	
05/04/2006	20.975	-0.065001	0.057621522	0.07955067	0.724337356	42.00670787	
06/04/2006	20.844999	-0.130001	0.053505699	0.083154265	0.643451048	39.15243162	
07/04/2006	20.674999	-0.17	0.049683863	0.089357531	0.556012037	35.73314497	
10/04/2006	20.74	0.065001	0.050777944	0.082974851	0.61196789	37.96402484	
11/04/2006	20.645	-0.095	0.047150948	0.08383379	0.562433696	35.99728406	
12/04/2006	20.575001	-0.069999	0.043783023	0.082845591	0.528489483	34.57593194	
13/04/2006	20.629999	0.054998	0.044584093	0.076928048	0.579555755	36.69106031	
17/04/2006	20.52	-0.109999	0.041399515	0.079290259	0.522126116	34.30242148	
18/04/2006	20.65	0.13	0.047728121	0.073626669	0.648245012	39.32940839	
19/04/2006	20.844999	0.194999	0.05824747	0.068367622	0.851974492	46.00357596	
20/04/2006	20.905001	0.060002	0.058372793	0.06348422	0.919485082	47.90269488	
21/04/2006	20.924999	0.019998	0.055631737	0.058949633	0.943716422	48.55216591	
24/04/2006	20.780001	-0.144998	0.051658041	0.065095945	0.79356773	44.2452056	
25/04/2006	20.674999	-0.105002	0.047968181	0.067946377	0.705971134	41.38236104	
26/04/2006	20.860001	0.185002	0.057756311	0.063093065	0.915414575	47.79198128	
27/04/2006	21.025	0.164999	0.065416503	0.058586417	1.116581389	52.75400203	
28/04/2006	20.98	-0.045	0.060743896	0.057615959	1.054289418	51.32136732	
01/05/2006	20.985001	0.005001	0.05676226	0.053500533	1.060966254	51.47906969	
02/05/2006	21.120001	0.135	0.06235067	0.049679066	1.25506928	55.65546439	
